Participant Private ID,Zone Name,Response,Video,metadata,metadata2,Video Code,Full Label,ResponsesQuantised
6012195,WillingnesstoTryagainLikert,Unlikely,3009.mp4,NALA,3000,NALA6,NALA6_WillingnesstoTryagainLikert,2
6012195,WillingnesstoTryagainLikert,Not at all likely,1005.mp4,NALA,3002,NAHA4,NAHA4_WillingnesstoTryagainLikert,0
6012195,WillingnesstoTryagainLikert,Not at all likely,1000.mp4,NALA,3004,NAHA1,NAHA1_WillingnesstoTryagainLikert,0
6012195,WillingnesstoTryagainLikert,Not at all likely,1004.mp4,NALA,3007,NAHA3,NAHA3_WillingnesstoTryagainLikert,0
6012195,WillingnesstoTryagainLikert,Unlikely,3002.mp4,NALA,3008,NALA2,NALA2_WillingnesstoTryagainLikert,2
6012195,WillingnesstoTryagainLikert,Neutral,1008.mp4,NALA,3009,NAHA6,NAHA6_WillingnesstoTryagainLikert,4
6012405,WillingnesstoTryagainLikert,Somewhat unlikely,3007.mp4,NAHA,1000,NALA4,NALA4_WillingnesstoTryagainLikert,3
6012405,WillingnesstoTryagainLikert,Unlikely,3000.mp4,NAHA,1001,NALA1,NALA1_WillingnesstoTryagainLikert,2
6012405,WillingnesstoTryagainLikert,Not at all likely,1000.mp4,NAHA,1004,NAHA1,NAHA1_WillingnesstoTryagainLikert,0
6012405,WillingnesstoTryagainLikert,Not at all likely,1008.mp4,NAHA,1005,NAHA6,NAHA6_WillingnesstoTryagainLikert,0
6012405,WillingnesstoTryagainLikert,Neutral,3004.mp4,NAHA,1006,NALA3,NALA3_WillingnesstoTryagainLikert,4
6012405,WillingnesstoTryagainLikert,Not at all likely,1004.mp4,NAHA,1008,NAHA3,NAHA3_WillingnesstoTryagainLikert,0
6012405,WillingnesstoTryagainLikert,Not at all likely,1001.mp4,NALA,3000,NAHA2,NAHA2_WillingnesstoTryagainLikert,0
6012405,WillingnesstoTryagainLikert,Neutral,3002.mp4,NALA,3002,NALA2,NALA2_WillingnesstoTryagainLikert,4
6012405,WillingnesstoTryagainLikert,Not at all likely,1006.mp4,NALA,3004,NAHA5,NAHA5_WillingnesstoTryagainLikert,0
6012405,WillingnesstoTryagainLikert,Neutral,3009.mp4,NALA,3007,NALA6,NALA6_WillingnesstoTryagainLikert,4
6012405,WillingnesstoTryagainLikert,Not at all likely,1005.mp4,NALA,3008,NAHA4,NAHA4_WillingnesstoTryagainLikert,0
6012405,WillingnesstoTryagainLikert,Neutral,3008.mp4,NALA,3009,NALA5,NALA5_WillingnesstoTryagainLikert,4
6013274,WillingnesstoTryagainLikert,Unlikely,1001.mp4,NAHA,1000,NAHA2,NAHA2_WillingnesstoTryagainLikert,2
6013274,WillingnesstoTryagainLikert,Neutral,1008.mp4,NAHA,1001,NAHA6,NAHA6_WillingnesstoTryagainLikert,4
6013274,WillingnesstoTryagainLikert,Somewhat unlikely,1000.mp4,NAHA,1004,NAHA1,NAHA1_WillingnesstoTryagainLikert,3
6013274,WillingnesstoTryagainLikert,Unlikely,3004.mp4,NAHA,1005,NALA3,NALA3_WillingnesstoTryagainLikert,2
6013274,WillingnesstoTryagainLikert,Unlikely,3000.mp4,NAHA,1006,NALA1,NALA1_WillingnesstoTryagainLikert,2
6013274,WillingnesstoTryagainLikert,Unlikely,3008.mp4,NAHA,1008,NALA5,NALA5_WillingnesstoTryagainLikert,2
